id	adapter	source_path	hermes	pi	hermes_category	platforms	clone_url	notes
agent-skill-manager	single	~/dotfiles/agent-skill-manager/skill	active	active	meta	all		manager skill bootstrap and scripted sync control plane
commit	single	~/dotfiles/agent-skill-manager/public_skills/commit	active	active	meta	all		emoji commit template
archlinux-desktop-ops	single	~/dotfiles/agent-skill-manager/public_skills/archlinux-desktop-ops	none	active		archlinux		Arch Linux / Hyprland only
chrome-access-routing	single	~/dotfiles/agent-skill-manager/public_skills/chrome-access-routing	active	active	research	all		Codex and Hermes browser and Chrome route arbiter
computer-use-non-disruptive	single	~/dotfiles/agent-skill-manager/public_skills/computer-use-non-disruptive	none	active		macos		non-disruptive Computer Use guardrail
engineering-contract-guard	single	~/dotfiles/agent-skill-manager/public_skills/engineering-contract-guard	none	active		all		API and contract preflight
iteration-drift-guard	single	~/dotfiles/agent-skill-manager/public_skills/iteration-drift-guard	none	active		all		long iteration drift guard
spark	single	~/dotfiles/agent-skill-manager/public_skills/spark	none	active		all		fast subagent trigger
vercel-design	single	~/dotfiles/agent-skill-manager/public_skills/vercel-design	none	active		all		Vercel-style frontend design guidance
draw-technical-diagrams	single	~/dotfiles/agent-skill-manager/public_skills/draw-technical-diagrams	none	active		all		precise technical diagram selection, specification, rendering, and validation
frontend-design	single	~/Code/source/agent-skills/anthropics-skills/skills/frontend-design	none	active		all		Anthropic frontend design skill
docx	single	~/Code/source/agent-skills/anthropics-skills/skills/docx	none	none		archlinux		macOS Codex App uses built-in Documents plugin
pdf	single	~/Code/source/agent-skills/anthropics-skills/skills/pdf	none	active		all		PDF operations skill
remotion	single	~/Code/source/agent-skills/remotion-skills/skills/remotion	none	active		all		Remotion best practices
tapestry	single	~/dotfiles/.codex/skills/tapestry	none	active		all		content extraction and action planning
humanizer-zh	single	~/Code/source/agent-skills/Humanizer-zh	active	active	creative	all		Chinese humanizer
gpt-image-2	single	~/Code/source/agent-skills/garden-skills/skills/gpt-image-2	active	active	creative	all		GPT Image 2 workflow
gstack	manual_pack	~/gstack	none	manual		all	https://github.com/garrytan/gstack.git	manual/reference only; do not auto-discover in Codex
mattpocock-skills	bundle_recursive	~/Code/source/mattpocock-skills	none	manual		all	https://github.com/mattpocock/skills.git	flatten nested non-deprecated skills into Codex top-level discovery
openakita-content-writer	manual_pack	~/Code/source/openakita	none	manual		all	https://github.com/openakita/openakita.git	content-research-writer reference; route through chinese-content-toolkit
claude-world-notebooklm	manual_pack	~/Code/source/notebooklm-skill	none	manual		all	https://github.com/claude-world/notebooklm-skill.git	NotebookLM research-to-content reference; local notebooklm remains canonical
khazix-skills	manual_pack	~/Code/source/khazix-skills	none	manual		all	https://github.com/KKKKhazix/khazix-skills.git	broad writing and research pack; cold library only
ian-xiaohei-illustrations	manual_pack	~/Code/source/ian-xiaohei-illustrations	none	manual		all	https://github.com/helloianneo/ian-xiaohei-illustrations.git	Chinese article illustration method; route through chinese-content-toolkit
guizang-social-card-skill	manual_pack	~/Code/source/guizang-social-card-skill	none	manual		all	https://github.com/op7418/guizang-social-card-skill.git	social cards and cover workflow; route through chinese-content-toolkit
baoyu-skills	manual_pack	~/Code/source/baoyu-skills	none	manual		all	https://github.com/jimliu/baoyu-skills.git	broad visual and publishing pack; cold library only
guizang-ppt-skill	manual_pack	~/Code/source/guizang-ppt-skill	none	manual		all	https://github.com/op7418/guizang-ppt-skill.git	web presentation workflow; route through chinese-content-toolkit
html-anything	manual_pack	~/Code/source/html-anything	none	manual		all	https://github.com/clockless-org/html-anything.git	single-file HTML artifact workflow; route through chinese-content-toolkit
notebooklm	tool_plus_skill	~/dotfiles/agent-skill-manager/public_skills/notebooklm	active	active	research	all		requires notebooklm CLI outside skill sync
impeccable	single	~/Code/source/agent-skills/impeccable/.agents/skills/impeccable	none	none		all		current Codex install shape; companion bundle not enabled
web-access	single	~/Code/source/agent-skills/web-access	active	active	research	all		public web access skill
dbskill	bundle_children	~/Code/source/dbskill	active	active		all	https://github.com/dontbesilent2025/dbskill.git	dontbesilent skill bundle under skills/*
last30days	single	~/Code/source/agent-skills/last30days-skill/skills/last30days	active	none	research	all		Hermes research skill
chirp	single	~/Code/source/agent-skills/chirp	active	none	social-media	all		Hermes social media skill
md2wechat	single	~/Code/source/agent-skills/md2wechat-skill/skills/md2wechat	active	none	social-media	all		Hermes social media skill
xhs-note-creator	single	~/Code/source/agent-skills/xhs-note-creator	active	none	social-media	all		Hermes social media skill
xiaohongshu-ops	single	~/Code/source/agent-skills/xiaohongshu-ops-skill	active	none	social-media	all		Hermes social media skill
